Email,Result,Valid,Is_Role,Is_Disposable,Is_Free,Delivery_Confidence
Kristylucky@yahoo.ca,neutral,true,false,false,true,48
upsetRenee@earthlink.net,neutral,true,false,false,true,53
Todddoubtful@frontiernet.net,neutral,true,false,false,true,51
old-fashionedKari@att.net,neutral,true,false,false,true,48
shyTrevor74@zonnet.nl,neutral,true,false,false,true,49
blueAaron3@yahoo.com.br,neutral,true,false,false,true,52
old-fashionedRose3@hetnet.nl,neutral,true,false,false,true,51
cleverBryce0@yahoo.com.br,neutral,true,false,false,true,50
obedientCalvin41@planet.nl,neutral,true,false,false,true,49
Charlesgrumpy@live.co.uk,neutral,true,false,false,true,49
poorColin@hotmail.fr,neutral,true,false,false,true,52
kindTravis74@optusnet.com.au,neutral,true,false,false,true,51
Karlenergetic@charter.net,neutral,true,false,false,true,49
brightKristen33@arcor.de,neutral,true,false,false,true,53
blushingLeonard@rambler.ru,neutral,true,false,false,true,52
Barryclever@chello.nl,neutral,true,false,false,true,48
blue-eyedIvan@uol.com.br,neutral,true,false,false,true,52
breakableSierra@uol.com.br,neutral,true,false,false,true,52
bloodyKayla@mail.com,neutral,true,false,false,true,48
Ricardoopen@windstream.net,neutral,true,false,false,true,49
puzzledShana@googlemail.com,neutral,true,false,false,true,53
frightenedShawna@aol.com,neutral,true,false,false,true,50
charmingPaul57@ymail.com,neutral,true,false,false,true,51
powerfulPatrick29@mail.com,neutral,true,false,false,true,48
wearyCody@comcast.net,neutral,true,false,false,true,49
Lindadead@chello.nl,neutral,true,false,false,true,51
ashamedCody@me.com,neutral,true,false,false,true,48
Ruthbewildered@live.com,neutral,true,false,false,true,50
wide-eyedKrista88@optonline.net,neutral,true,false,false,true,53
depressedKeri@voila.fr,neutral,true,false,false,false,52
cleverRobyn8@neuf.fr,neutral,true,false,false,false,49
relievedSierra8@mail.com,neutral,true,false,false,true,48
Annasuper@aliceadsl.fr,neutral,true,false,false,false,51
Kevinnice@frontiernet.net,neutral,true,false,false,true,49
longNathaniel@comcast.net,neutral,true,false,false,true,53
Robertblushing@yahoo.com.sg,neutral,true,false,false,true,50
deadCarmen@yahoo.com.br,neutral,true,false,false,true,49
gleamingTyler64@terra.com.br,neutral,true,false,false,true,49
Billyblushing@msn.com,neutral,true,false,false,true,52
Loritired@hotmail.co.uk,neutral,true,false,false,true,51
filthyWilliam31@rambler.ru,neutral,true,false,false,true,49
Shannaconcerned@yahoo.ca,neutral,true,false,false,true,52
superKelli50@hotmail.es,neutral,true,false,false,true,51
faithfulRachael@web.de,neutral,true,false,false,true,48
cheerfulMarisa8@sympatico.ca,neutral,true,false,false,false,50
tenderRuben@verizon.net,neutral,true,false,false,true,48
repulsiveTina@optonline.net,neutral,true,false,false,true,48
enchantingJames@facebook.com,neutral,true,false,false,true,48
Jorgeagreeable@hetnet.nl,neutral,true,false,false,true,50
inexpensiveJaime@hotmail.it,neutral,true,false,false,true,48
wearyColin53@live.co.uk,neutral,true,false,false,true,49
illDanny@blueyonder.co.uk,neutral,true,false,false,false,53
Noahold-fashioned@yahoo.de,neutral,true,false,false,true,51
Maggiegentle@yahoo.co.id,neutral,true,false,false,true,53
Kevinrelieved@yahoo.com.au,neutral,true,false,false,true,48
Latoyaupset@alice.it,neutral,true,false,false,true,52
innocentStephanie@sky.com,neutral,true,false,false,true,52
dizzyAaron@frontiernet.net,neutral,true,false,false,true,51
Christopherdull@hetnet.nl,neutral,true,false,false,true,52
tiredCalvin50@libero.it,neutral,true,false,false,true,50
mistyTommy23@hetnet.nl,neutral,true,false,false,true,49
Leahuninterested@yahoo.de,neutral,true,false,false,true,50
gleamingTyler@live.nl,neutral,true,false,false,true,51
Ronaldaverage@live.com,neutral,true,false,false,true,51
Jayimpossible@live.nl,neutral,true,false,false,true,53
Joydead@yahoo.co.jp,neutral,true,false,false,true,48
helplessDrew@bigpond.net.au,neutral,true,false,false,true,48
defeatedLeonard25@bol.com.br,neutral,true,false,false,true,51
Tarasplendid@live.fr,neutral,true,false,false,true,51
richTommy@hotmail.com,neutral,true,false,false,true,52
healthyAmanda@yahoo.com.ar,neutral,true,false,false,true,51
plainFelicia@windstream.net,neutral,true,false,false,true,53
Heathertough@mail.com,neutral,true,false,false,true,53
Rafaelimpossible@juno.com,neutral,true,false,false,true,53
Tamaranervous@msn.com,neutral,true,false,false,true,50
Frederickbad@yahoo.ca,neutral,true,false,false,true,48
hilariousDennis@sbcglobal.net,neutral,true,false,false,true,48
wearyTanya22@live.fr,neutral,true,false,false,true,48
breakableBridget75@yahoo.co.in,neutral,true,false,false,true,49
Nicholeashamed@frontiernet.net,neutral,true,false,false,true,49
Geoffreyhealthy@frontiernet.net,neutral,true,false,false,true,53
Blakedepressed@tin.it,neutral,true,false,false,false,53
Barbaradistinct@optonline.net,neutral,true,false,false,true,49
crazyDarryl28@arcor.de,neutral,true,false,false,true,51
hilariousCassie@freenet.de,neutral,true,false,false,true,48
Juantasty@zonnet.nl,neutral,true,false,false,true,51
Bradleylonely@shaw.ca,neutral,true,false,false,false,48
Lisalovely@yahoo.com.br,neutral,true,false,false,true,53
Robinamused@yahoo.com,neutral,true,false,false,true,50
quaintMary87@gmx.de,neutral,true,false,false,true,51
innocentVirginia@terra.com.br,neutral,true,false,false,true,53
Jessieelated@tiscali.co.uk,neutral,true,false,false,true,52
poisedTrevor79@yahoo.com.sg,neutral,true,false,false,true,52
evilKyle53@bluewin.ch,neutral,true,false,false,false,50
openTodd33@googlemail.com,neutral,true,false,false,true,50
tastyKenneth42@free.fr,neutral,true,false,false,true,48
wickedAdrienne@libero.it,neutral,true,false,false,true,52
Mariaitchy@web.de,neutral,true,false,false,true,53
Laceyawful@gmx.net,neutral,true,false,false,true,52
Leahelated@laposte.net,neutral,true,false,false,true,52
mysteriousDanielle@comcast.net,neutral,true,false,false,true,50
openAntonio6@sympatico.ca,neutral,true,false,false,false,48
Wesleyprickly@yahoo.com.ar,neutral,true,false,false,true,48
differentErin14@mac.com,neutral,true,false,false,true,48
gleamingBrandon@home.nl,neutral,true,false,false,true,53
